group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,modified from scratch,16,,,828869486.0,cycles,139
non_nested_compare,modified from scratch,16,,,1484619782.0,cycles,278
non_nested_compare,modified from scratch,16,,,2521689063.0,cycles,417
non_nested_compare,modified from scratch,16,,,3289051489.0,cycles,556
non_nested_compare,modified from scratch,16,,,3891659984.0,cycles,695
non_nested_compare,modified from scratch,16,,,4773550416.0,cycles,834
non_nested_compare,modified from scratch,16,,,5604725184.0,cycles,973
non_nested_compare,modified from scratch,16,,,10053522530.0,cycles,1112
non_nested_compare,modified from scratch,16,,,11254215761.0,cycles,1251
non_nested_compare,modified from scratch,16,,,13722961118.0,cycles,1390
non_nested_compare,modified from scratch,16,,,15729156857.0,cycles,1529
non_nested_compare,modified from scratch,16,,,17555925266.0,cycles,1668
non_nested_compare,modified from scratch,16,,,20393106848.0,cycles,1807
non_nested_compare,modified from scratch,16,,,22647227589.0,cycles,1946
non_nested_compare,modified from scratch,16,,,25531697763.0,cycles,2085
non_nested_compare,modified from scratch,16,,,27770649192.0,cycles,2224
non_nested_compare,modified from scratch,16,,,31125390467.0,cycles,2363
non_nested_compare,modified from scratch,16,,,35346928862.0,cycles,2502
non_nested_compare,modified from scratch,16,,,39510091768.0,cycles,2641
non_nested_compare,modified from scratch,16,,,42816952399.0,cycles,2780
non_nested_compare,modified from scratch,16,,,45772243460.0,cycles,2919
non_nested_compare,modified from scratch,16,,,46493594069.0,cycles,3058
non_nested_compare,modified from scratch,16,,,52137803893.0,cycles,3197
non_nested_compare,modified from scratch,16,,,58128573554.0,cycles,3336
non_nested_compare,modified from scratch,16,,,60802223218.0,cycles,3475
non_nested_compare,modified from scratch,16,,,66747386569.0,cycles,3614
non_nested_compare,modified from scratch,16,,,72155550878.0,cycles,3753
non_nested_compare,modified from scratch,16,,,76244587089.0,cycles,3892
non_nested_compare,modified from scratch,16,,,73617043899.0,cycles,4031
non_nested_compare,modified from scratch,16,,,77721765997.0,cycles,4170
non_nested_compare,modified from scratch,16,,,81305686453.0,cycles,4309
non_nested_compare,modified from scratch,16,,,85433865186.0,cycles,4448
non_nested_compare,modified from scratch,16,,,89228654115.0,cycles,4587
non_nested_compare,modified from scratch,16,,,94218648638.0,cycles,4726
non_nested_compare,modified from scratch,16,,,97703443267.0,cycles,4865
non_nested_compare,modified from scratch,16,,,93854184187.0,cycles,5004
non_nested_compare,modified from scratch,16,,,97739806657.0,cycles,5143
non_nested_compare,modified from scratch,16,,,101114119140.0,cycles,5282
non_nested_compare,modified from scratch,16,,,106009916441.0,cycles,5421
non_nested_compare,modified from scratch,16,,,109937735544.0,cycles,5560
non_nested_compare,modified from scratch,16,,,115255879811.0,cycles,5699
non_nested_compare,modified from scratch,16,,,120017776237.0,cycles,5838
non_nested_compare,modified from scratch,16,,,124245316376.0,cycles,5977
non_nested_compare,modified from scratch,16,,,118375864300.0,cycles,6116
non_nested_compare,modified from scratch,16,,,107435136285.0,cycles,6255
non_nested_compare,modified from scratch,16,,,118792628453.0,cycles,6394
non_nested_compare,modified from scratch,16,,,124981501847.0,cycles,6533
non_nested_compare,modified from scratch,16,,,130742469772.0,cycles,6672
non_nested_compare,modified from scratch,16,,,135105383168.0,cycles,6811
non_nested_compare,modified from scratch,16,,,139576352057.0,cycles,6950
non_nested_compare,modified from scratch,16,,,134549634407.0,cycles,7089
non_nested_compare,modified from scratch,16,,,139884422993.0,cycles,7228
non_nested_compare,modified from scratch,16,,,145025699136.0,cycles,7367
non_nested_compare,modified from scratch,16,,,150627057537.0,cycles,7506
non_nested_compare,modified from scratch,16,,,156324525559.0,cycles,7645
non_nested_compare,modified from scratch,16,,,161465992502.0,cycles,7784
non_nested_compare,modified from scratch,16,,,166385484288.0,cycles,7923
non_nested_compare,modified from scratch,16,,,160011736667.0,cycles,8062
non_nested_compare,modified from scratch,16,,,166053313396.0,cycles,8201
non_nested_compare,modified from scratch,16,,,170687731703.0,cycles,8340
non_nested_compare,modified from scratch,16,,,176373268622.0,cycles,8479
non_nested_compare,modified from scratch,16,,,182902478238.0,cycles,8618
non_nested_compare,modified from scratch,16,,,186546589658.0,cycles,8757
non_nested_compare,modified from scratch,16,,,190701743226.0,cycles,8896
non_nested_compare,modified from scratch,16,,,184810026548.0,cycles,9035
non_nested_compare,modified from scratch,16,,,191417420673.0,cycles,9174
non_nested_compare,modified from scratch,16,,,197053720585.0,cycles,9313
non_nested_compare,modified from scratch,16,,,203598974968.0,cycles,9452
non_nested_compare,modified from scratch,16,,,207817553560.0,cycles,9591
non_nested_compare,modified from scratch,16,,,212017049109.0,cycles,9730
non_nested_compare,modified from scratch,16,,,215447824038.0,cycles,9869
non_nested_compare,modified from scratch,16,,,207998597896.0,cycles,10008
non_nested_compare,modified from scratch,16,,,217015148018.0,cycles,10147
non_nested_compare,modified from scratch,16,,,220938763674.0,cycles,10286
non_nested_compare,modified from scratch,16,,,226395539334.0,cycles,10425
non_nested_compare,modified from scratch,16,,,231316679683.0,cycles,10564
non_nested_compare,modified from scratch,16,,,236208579176.0,cycles,10703
non_nested_compare,modified from scratch,16,,,253018405653.0,cycles,10842
non_nested_compare,modified from scratch,16,,,267344179188.0,cycles,10981
non_nested_compare,modified from scratch,16,,,261536840842.0,cycles,11120
non_nested_compare,modified from scratch,16,,,266222791555.0,cycles,11259
non_nested_compare,modified from scratch,16,,,273533526073.0,cycles,11398
non_nested_compare,modified from scratch,16,,,281064577617.0,cycles,11537
non_nested_compare,modified from scratch,16,,,288051938564.0,cycles,11676
non_nested_compare,modified from scratch,16,,,293479855855.0,cycles,11815
non_nested_compare,modified from scratch,16,,,298217157482.0,cycles,11954
non_nested_compare,modified from scratch,16,,,288640554946.0,cycles,12093
non_nested_compare,modified from scratch,16,,,294865371087.0,cycles,12232
non_nested_compare,modified from scratch,16,,,299545331798.0,cycles,12371
non_nested_compare,modified from scratch,16,,,307860822030.0,cycles,12510
non_nested_compare,modified from scratch,16,,,312672735174.0,cycles,12649
non_nested_compare,modified from scratch,16,,,316843054465.0,cycles,12788
non_nested_compare,modified from scratch,16,,,330493281677.0,cycles,12927
non_nested_compare,modified from scratch,16,,,326323652482.0,cycles,13066
non_nested_compare,modified from scratch,16,,,325609335185.0,cycles,13205
non_nested_compare,modified from scratch,16,,,331064471166.0,cycles,13344
non_nested_compare,modified from scratch,16,,,340928807983.0,cycles,13483
non_nested_compare,modified from scratch,16,,,340834274884.0,cycles,13622
non_nested_compare,modified from scratch,16,,,347403142633.0,cycles,13761
non_nested_compare,modified from scratch,16,,,394247223129.0,cycles,13900
