group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,initial calculation,20,,,1086320778.0,cycles,6
non_nested_compare,initial calculation,20,,,2147897119.0,cycles,12
non_nested_compare,initial calculation,20,,,3242878821.0,cycles,18
non_nested_compare,initial calculation,20,,,4425393586.0,cycles,24
non_nested_compare,initial calculation,20,,,5490298114.0,cycles,30
non_nested_compare,initial calculation,20,,,6515604633.0,cycles,36
non_nested_compare,initial calculation,20,,,7744797558.0,cycles,42
non_nested_compare,initial calculation,20,,,8817714586.0,cycles,48
non_nested_compare,initial calculation,20,,,9915701743.0,cycles,54
non_nested_compare,initial calculation,20,,,11083333370.0,cycles,60
non_nested_compare,initial calculation,20,,,12212155991.0,cycles,66
non_nested_compare,initial calculation,20,,,13324090430.0,cycles,72
non_nested_compare,initial calculation,20,,,14556716710.0,cycles,78
non_nested_compare,initial calculation,20,,,15710943198.0,cycles,84
non_nested_compare,initial calculation,20,,,16872713862.0,cycles,90
non_nested_compare,initial calculation,20,,,18098569328.0,cycles,96
non_nested_compare,initial calculation,20,,,19210960289.0,cycles,102
non_nested_compare,initial calculation,20,,,20420589321.0,cycles,108
non_nested_compare,initial calculation,20,,,21634057775.0,cycles,114
non_nested_compare,initial calculation,20,,,22870227706.0,cycles,120
non_nested_compare,initial calculation,20,,,24195368526.0,cycles,126
non_nested_compare,initial calculation,20,,,25532925606.0,cycles,132
non_nested_compare,initial calculation,20,,,26569288408.0,cycles,138
non_nested_compare,initial calculation,20,,,27710913922.0,cycles,144
non_nested_compare,initial calculation,20,,,29024955400.0,cycles,150
non_nested_compare,initial calculation,20,,,30294371714.0,cycles,156
non_nested_compare,initial calculation,20,,,31736041989.0,cycles,162
non_nested_compare,initial calculation,20,,,32848137545.0,cycles,168
non_nested_compare,initial calculation,20,,,34854545272.0,cycles,174
non_nested_compare,initial calculation,20,,,35714883829.0,cycles,180
non_nested_compare,initial calculation,20,,,37038705032.0,cycles,186
non_nested_compare,initial calculation,20,,,38218239655.0,cycles,192
non_nested_compare,initial calculation,20,,,39507039781.0,cycles,198
non_nested_compare,initial calculation,20,,,40501257074.0,cycles,204
non_nested_compare,initial calculation,20,,,41889543787.0,cycles,210
non_nested_compare,initial calculation,20,,,43271118366.0,cycles,216
non_nested_compare,initial calculation,20,,,44374635353.0,cycles,222
non_nested_compare,initial calculation,20,,,45722159186.0,cycles,228
non_nested_compare,initial calculation,20,,,47170164511.0,cycles,234
non_nested_compare,initial calculation,20,,,48025693156.0,cycles,240
non_nested_compare,initial calculation,20,,,49533304380.0,cycles,246
non_nested_compare,initial calculation,20,,,50655497775.0,cycles,252
non_nested_compare,initial calculation,20,,,52001050541.0,cycles,258
non_nested_compare,initial calculation,20,,,53426455813.0,cycles,264
non_nested_compare,initial calculation,20,,,54573362694.0,cycles,270
non_nested_compare,initial calculation,20,,,56035919621.0,cycles,276
non_nested_compare,initial calculation,20,,,57115945508.0,cycles,282
non_nested_compare,initial calculation,20,,,58454180789.0,cycles,288
non_nested_compare,initial calculation,20,,,59896797845.0,cycles,294
non_nested_compare,initial calculation,20,,,61775047301.0,cycles,300
non_nested_compare,initial calculation,20,,,62337644028.0,cycles,306
non_nested_compare,initial calculation,20,,,63551883136.0,cycles,312
non_nested_compare,initial calculation,20,,,64672988715.0,cycles,318
non_nested_compare,initial calculation,20,,,65935139253.0,cycles,324
