group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,incremental calc,13,,,594682647.0,cycles,2371
non_nested_compare,incremental calc,13,,,1370235189.0,cycles,4742
non_nested_compare,incremental calc,13,,,2795556051.0,cycles,7113
non_nested_compare,incremental calc,13,,,3624773192.0,cycles,9484
non_nested_compare,incremental calc,13,,,6698053156.0,cycles,11855
non_nested_compare,incremental calc,13,,,11768792599.0,cycles,14226
non_nested_compare,incremental calc,13,,,15033052566.0,cycles,16597
non_nested_compare,incremental calc,13,,,6447866400.0,cycles,18968
non_nested_compare,incremental calc,13,,,7212399268.0,cycles,21339
non_nested_compare,incremental calc,13,,,7952805437.0,cycles,23710
non_nested_compare,incremental calc,13,,,8696422782.0,cycles,26081
non_nested_compare,incremental calc,13,,,9435785914.0,cycles,28452
non_nested_compare,incremental calc,13,,,10211788874.0,cycles,30823
non_nested_compare,incremental calc,13,,,10932845581.0,cycles,33194
non_nested_compare,incremental calc,13,,,11723288771.0,cycles,35565
non_nested_compare,incremental calc,13,,,12411772885.0,cycles,37936
non_nested_compare,incremental calc,13,,,13327697109.0,cycles,40307
non_nested_compare,incremental calc,13,,,13891217748.0,cycles,42678
non_nested_compare,incremental calc,13,,,14610405161.0,cycles,45049
non_nested_compare,incremental calc,13,,,15601774847.0,cycles,47420
non_nested_compare,incremental calc,13,,,16322649605.0,cycles,49791
non_nested_compare,incremental calc,13,,,17564383008.0,cycles,52162
non_nested_compare,incremental calc,13,,,18242006365.0,cycles,54533
non_nested_compare,incremental calc,13,,,18526015976.0,cycles,56904
non_nested_compare,incremental calc,13,,,19258984056.0,cycles,59275
non_nested_compare,incremental calc,13,,,20023503156.0,cycles,61646
non_nested_compare,incremental calc,13,,,20698212215.0,cycles,64017
non_nested_compare,incremental calc,13,,,21461150122.0,cycles,66388
non_nested_compare,incremental calc,13,,,22158200909.0,cycles,68759
non_nested_compare,incremental calc,13,,,22915346352.0,cycles,71130
non_nested_compare,incremental calc,13,,,23769726299.0,cycles,73501
non_nested_compare,incremental calc,13,,,24489627410.0,cycles,75872
non_nested_compare,incremental calc,13,,,25445913534.0,cycles,78243
non_nested_compare,incremental calc,13,,,26049827652.0,cycles,80614
non_nested_compare,incremental calc,13,,,26695841853.0,cycles,82985
non_nested_compare,incremental calc,13,,,26751888255.0,cycles,85356
non_nested_compare,incremental calc,13,,,25024375628.0,cycles,87727
non_nested_compare,incremental calc,13,,,26401740713.0,cycles,90098
non_nested_compare,incremental calc,13,,,27149930753.0,cycles,92469
non_nested_compare,incremental calc,13,,,27982795232.0,cycles,94840
non_nested_compare,incremental calc,13,,,29061635018.0,cycles,97211
non_nested_compare,incremental calc,13,,,29259429358.0,cycles,99582
non_nested_compare,incremental calc,13,,,29874951398.0,cycles,101953
non_nested_compare,incremental calc,13,,,30813773264.0,cycles,104324
non_nested_compare,incremental calc,13,,,31561632436.0,cycles,106695
non_nested_compare,incremental calc,13,,,32002262776.0,cycles,109066
non_nested_compare,incremental calc,13,,,32831950529.0,cycles,111437
non_nested_compare,incremental calc,13,,,33574646175.0,cycles,113808
