group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,initial calculation,18,,,872504178.0,cycles,21
non_nested_compare,initial calculation,18,,,1836728063.0,cycles,42
non_nested_compare,initial calculation,18,,,2894238792.0,cycles,63
non_nested_compare,initial calculation,18,,,3827882401.0,cycles,84
non_nested_compare,initial calculation,18,,,4874757436.0,cycles,105
non_nested_compare,initial calculation,18,,,5806959780.0,cycles,126
non_nested_compare,initial calculation,18,,,6844997722.0,cycles,147
non_nested_compare,initial calculation,18,,,8044730907.0,cycles,168
non_nested_compare,initial calculation,18,,,9212725647.0,cycles,189
non_nested_compare,initial calculation,18,,,10015213128.0,cycles,210
non_nested_compare,initial calculation,18,,,11110144124.0,cycles,231
non_nested_compare,initial calculation,18,,,12104881487.0,cycles,252
non_nested_compare,initial calculation,18,,,13236627806.0,cycles,273
non_nested_compare,initial calculation,18,,,14318829230.0,cycles,294
non_nested_compare,initial calculation,18,,,15308626738.0,cycles,315
non_nested_compare,initial calculation,18,,,16302613160.0,cycles,336
non_nested_compare,initial calculation,18,,,17556861374.0,cycles,357
non_nested_compare,initial calculation,18,,,18550819128.0,cycles,378
non_nested_compare,initial calculation,18,,,19681470496.0,cycles,399
non_nested_compare,initial calculation,18,,,20876309037.0,cycles,420
non_nested_compare,initial calculation,18,,,22207799934.0,cycles,441
non_nested_compare,initial calculation,18,,,23271487034.0,cycles,462
non_nested_compare,initial calculation,18,,,24289112557.0,cycles,483
non_nested_compare,initial calculation,18,,,25222164198.0,cycles,504
non_nested_compare,initial calculation,18,,,26265912572.0,cycles,525
non_nested_compare,initial calculation,18,,,27308821339.0,cycles,546
non_nested_compare,initial calculation,18,,,28470163336.0,cycles,567
non_nested_compare,initial calculation,18,,,29603835323.0,cycles,588
non_nested_compare,initial calculation,18,,,30299040399.0,cycles,609
non_nested_compare,initial calculation,18,,,31561370082.0,cycles,630
non_nested_compare,initial calculation,18,,,32410316872.0,cycles,651
non_nested_compare,initial calculation,18,,,34171149941.0,cycles,672
non_nested_compare,initial calculation,18,,,35164908689.0,cycles,693
non_nested_compare,initial calculation,18,,,35965648007.0,cycles,714
non_nested_compare,initial calculation,18,,,37220117256.0,cycles,735
non_nested_compare,initial calculation,18,,,37984422257.0,cycles,756
non_nested_compare,initial calculation,18,,,38511759323.0,cycles,777
non_nested_compare,initial calculation,18,,,39448577011.0,cycles,798
non_nested_compare,initial calculation,18,,,40081416021.0,cycles,819
